Marca temporal,Gender,Age,Which of the following types of cozy games have you played in the past month? (choose all that apply) ,How often do you play cozy games?  ,How do you typically discover new cozy games to play?  ,How much time do you spend playing cozy games in a typical week?  ,How much money have you spent on in-game purchases in the past month?  ,Which of the following in-game purchases have you made in the past month? (choose all that apply)  ,How important are the following features when deciding whether to play a cozy game?   [Engaging storyline],How important are the following features when deciding whether to play a cozy game?   [Attractive graphics],How important are the following features when deciding whether to play a cozy game?   [Relaxing atmosphere],How important are the following features when deciding whether to play a cozy game?   [Social interactions with other players],How important are the following features when deciding whether to play a cozy game?   [Challenging gameplay],Have you ever recommended a cozy game to a friend or family member?  ,How likely are you to continue playing a cozy game after completing all available levels or content?  ,What role does music play in cozy games for you?,Which of the following devices do you use to play cozy games? (Select all that apply),"What are some of your favorite cozy games, and why do you enjoy playing them? (Please describe briefly)"
2023/04/07 12:17:24 a. m. GMT-4,Male;Non-Binary,16-20,Casual games,Weekly,Word of mouth,Less than 1 hour,$0 ,Other,Regular,Regular,Very Important,Somewhat Important,Regular,Yes,Somewhat Likely,It helps me relax and focus,PC/Laptop,"I think I was emailed the wrong survey, I exclusively play VR military flight simulators on this https://international-store.varjo.com/home-storefront-b2c and nothing else, no music, no in game purchases, no multiplayer and no story, only a 2,000 pages avionics paper manual to memorize and my hotas and trackball to execute cockpit procedures in my varjo aero"
2023/04/06 3:54:04 a. m. GMT-4,Male,16-20,Simulation games,Weekly,Social media recommendations;Other,Less than 1 hour,$0 ,Other,Not Important,Important,Important,Regular,Not Important,Yes,Neutral,"I appreciate the music, but it is not essential to my gaming experience",PC/Laptop,"Endless Ocean (love the feel of water/swimming in games, love marine animals, nice music), Animal Crossing (cute and atmosoheric), Stardew Valley (playing with family, building something together without pressing goals, can take long breaks without losing feel for involved mechanics and stuff)"
2023/04/05 11:55:51 p. m. GMT-4,Male,26-30,Adventure games,Weekly,Online reviews and ratings,2-5 hours,$10-$25,Extra lives or power-ups,Very Important,Regular,Very Important,Regular,Very Important,Yes,Neutral,It helps me relax and focus,Mobile Phone,slime rancher because I love slimes they are cute 
2023/04/06 3:54:04 a. m. GMT-4,Female,31-35,Casual games,Occasionally,Other,Less than 1 hour,$0 ,Other,Not Important,Very Important,Very Important,Not Important,Somewhat Important,Yes,Very Likely,I don't pay attention to the music in cozy games,Mobile Phone,"I think I was emailed the wrong survey, I exclusively play VR military flight simulators on this https://international-store.varjo.com/home-storefront-b2c and nothing else, no music, no in game purchases, no multiplayer and no story, only a 2,000 pages avionics paper manual to memorize and my hotas and trackball to execute cockpit procedures in my varjo aero"
2023/04/06 4:25:53 p. m. GMT-4,Female,26-30,Casual games;Simulation games,Weekly,Word of mouth;Online reviews and ratings,2-5 hours,More than $50,Virtual currency,Important,Regular,Important,Important,Very Importante,Yes,Neutral,"It helps me relax and focus;I appreciate the music, but it is not essential to my gaming experience",Gaming Console,"Stardew Valley, I fell hours pass by"
2023/04/05 9:16:16 p. m. GMT-4,Male,41-45,Simulation games,Weekly,Social media recommendations;Other,1-2 hours,$0 ,Virtual currency,Important,Important,Very Important,Somewhat Important,Not Important,Yes,Very Likely,I don't pay attention to the music in cozy games,Gaming Console,Zelda
2023/04/09 12:17:00 a. m. GMT-4,Female,31-35,Simulation games,Occasionally,Other,1-2 hours,$0 ,Other,Very Important,Important,Very Important,Not Important,Very Important,Yes,Somewhat Unlikely,It helps me relax and focus,Mobile Phone,harvest moon! i love nature lol and it has a storyline that isn’t too intense like other games but you still have a goal to accomplish
2023/04/07 12:17:24 a. m. GMT-4,Female,16-20,Other,Occasionally,Online reviews and ratings,Less than 1 hour,Menos de $10,None,Important,Regular,Very Important,Somewhat Important,Important,Yes,Somewhat Likely,It is essential to my gaming experience,Gaming Console,"Stardew valley and my time at portia, I love the atmosphere and I enjoy resource collection games because they’re relaxing."
2023/04/06 4:34:51 a. m. GMT-4,Male,26-30,Adventure games,Weekly,Word of mouth,1-2 hours,$0 ,Other,Important,Regular,Very Important,Not Important,Somewhat Important,Yes,Somewhat Unlikely,It helps me relax and focus,PC/Laptop,Animal Crossing and Stardew Valley
2023/04/09 12:17:00 a. m. GMT-4,Male;Non-Binary,31-35,Adventure games,Occasionally,Word of mouth,Less than 1 hour,$10-$25,New levels or content;Cosmetics or skins,Very Important,Regular,Very Important,Important,Regular,Yes,Neutral,It helps me relax and focus,PC/Laptop,"Stardew Valley, I fell hours pass by"
2023/04/07 12:17:24 a. m. GMT-4,Male,26-30,Simulation games,Never,Social media recommendations;Other,More than 10 hours,$0 ,New levels or content;Virtual currency,Important,Regular,Important,Important,Important,Yes,Somewhat Unlikely,It helps me relax and focus,Mobile Phone,"I think I was emailed the wrong survey, I exclusively play VR military flight simulators on this https://international-store.varjo.com/home-storefront-b2c and nothing else, no music, no in game purchases, no multiplayer and no story, only a 2,000 pages avionics paper manual to memorize and my hotas and trackball to execute cockpit procedures in my varjo aero"
2023/04/06 11:24:28 a. m. GMT-4,Female,26-30,Adventure games;Simulation games;Puzzle games,Weekly,Social media recommendations;Other,1-2 hours,$0 ,New levels or content,Somewhat Important,Important,Very Important,Not Important,Somewhat Important,Yes,Very Likely,It is essential to my gaming experience,Mobile Phone,
2023/04/07 12:17:24 a. m. GMT-4,Female,16-20,Other,Occasionally,Word of mouth,1-2 hours,Less than $10,None,Important,Somewhat Important,Regular,Regular,Regular,Yes,Somewhat Likely,It helps me relax and focus,PC/Laptop,
2023/04/06 10:45:06 a. m. GMT-4,Female,21-25,Simulation games,Weekly,Word of mouth;Online reviews and ratings,1-2 hours,$0 ,Other,Not Important,Regular,Very Important,Regular,Very Important,Yes,Somewhat Likely,It helps me relax and focus,PC/Laptop,
2023/04/05 11:55:51 p. m. GMT-4,Male,26-30,Casual games;Simulation games,Weekly,Social media recommendations;Word of mouth;Online reviews and ratings,1-2 hours,$0 ,Virtual currency,Very Important,Somewhat Important,Very Important,Not Important,Regular,Yes,Neutral,It is essential to my gaming experience,PC/Laptop;Gaming Console,
2023/04/06 12:13:35 a. m. GMT-4,Female,16-20,Other,Occasionally,Other,Less than 1 hour,$10-$25,None,Very Important,Somewhat Important,Regular,Important,Regular,Yes,Very Likely,It helps me relax and focus,PC/Laptop,"Stardew Valley, I fell hours pass by"
2023/04/06 12:13:35 a. m. GMT-4,Male,41-45,Casual games,Never,Other,More than 10 hours,$0 ,Other,Not Important,Very Important,Not Important,Not Important,Not Important,No,Very Unlikely,I don't pay attention to the music in cozy games,Other,
2023/05/02 4:54:51 p. m. GMT-4,Male,16-20,Adventure games,Occasionally,Word of mouth,1-2 hours,$0 ,Cosmetics or skins,Very Important,Regular,Very Important,Not Important,Not Important,Yes,Neutral,It helps me relax and focus,PC/Laptop,Animal Crossing and Stardew Valley
2023/04/06 1:29:01 a. m. GMT-4,Female,26-30,Adventure games;Simulation games;Puzzle games,Weekly,Word of mouth;Online reviews and ratings,1-2 hours,$10-$25,New levels or content;Virtual currency,Regular,Somewhat Important,Important,Very Important,Somewhat Important,Yes,Somewhat Likely,"I appreciate the music, but it is not essential to my gaming experience",PC/Laptop;Gaming Console,"Truck Simulator, Paradox Games"
2023/04/07 7:45:09 p. m. GMT-4,Female,21-25,Simulation games,Weekly,Word of mouth,2-5 hours,$10-$25,None,Very Important,Important,Very Important,Regular,Regular,Yes,Somewhat Likely,It helps me relax and focus,PC/Laptop,"Animal crossing, Stardew Valley "
2023/04/07 7:45:09 p. m. GMT-4,Male,16-20,Other,Occasionally,Online reviews and ratings,Less than 1 hour,$0 ,Other,Important,Somewhat Important,Important,Somewhat Important,Not Important,Yes,Somewhat Likely,It helps me relax and focus,PC/Laptop,
2023/04/06 11:24:28 a. m. GMT-4,Female,21-25,Casual games,Occasionally,Online reviews and ratings,2-5 hours,$10-$25,Extra lives or power-ups,Very Important,Very Important,Very Important,Somewhat Important,Regular,Yes,Somewhat Likely,It is essential to my gaming experience,Gaming Console,slime rancher because I love slimes they are cute 
2023/04/06 11:24:28 a. m. GMT-4,Female,21-25,Casual games,Occasionally,Other,Less than 1 hour,Less than $10,Other,Important,Important,Very Important,Not Important,Not Important,No,Very Unlikely,I don't pay attention to the music in cozy games,Gaming Console,"""A Short Hike"" and ""Glider PRO""

They are the digital equivalent of a warm heavy blanket on a cold winter's day."
2023/04/06 12:13:35 a. m. GMT-4,Female,26-30,Adventure games,Weekly,Social media recommendations,1-2 hours,Less than $10,New levels or content;Virtual currency,Important,Very Important,Very Important,Very Important,Very Important,Yes,Somewhat Likely,It is essential to my gaming experience,Gaming Console,"Stardew valley and my time at portia, I love the atmosphere and I enjoy resource collection games because they’re relaxing."
2023/04/09 7:38:19 p. m. GMT-4,Male,41-45,Simulation games,Weekly,Other,More than 10 hours,$0 ,Other,Very Important,Somewhat Important,Very Important,Not Important,Somewhat Important,Yes,Very Likely,It is essential to my gaming experience,Mobile Phone,"Stardew valley and my time at portia, I love the atmosphere and I enjoy resource collection games because they’re relaxing."
2023/05/03 3:01:47 a. m. GMT-4,Male,41-45,Simulation games,Daily,Other,More than 10 hours,$0 ,Other,Very Important,Very Important,Very Important,Not Important,Not Important,No,Very Unlikely,It helps me relax and focus,Other,"I think I was emailed the wrong survey, I exclusively play VR military flight simulators on this https://international-store.varjo.com/home-storefront-b2c and nothing else, no music, no in game purchases, no multiplayer and no story, only a 2,000 pages avionics paper manual to memorize and my hotas and trackball to execute cockpit procedures in my varjo aero"
2023/04/06 9:07:11 a. m. GMT-4,Female,26-30,Adventure games,Monthly,Word of mouth,2-5 hours,Less than $10,None,Somewhat Important,Regular,Very Important,Regular,Regular,Yes,Very Likely,I don't pay attention to the music in cozy games,Mobile Phone,"Animql crossing, Disney dreamlightvalley, wylde flowers..."
2023/04/06 12:13:35 a. m. GMT-4,Male,31-35,Simulation games;Adventure games,Occasionally,Word of mouth,2-5 hours,$10-$25,Other,Very Important,Somewhat Important,Important,Important,Not Important,Yes,Neutral,"I appreciate the music, but it is not essential to my gaming experience",Gaming Console,
2023/04/06 1:29:01 a. m. GMT-4,Male,26-30,Simulation games,Weekly,Social media recommendations,More than 10 hours,$10-$25,Other,Somewhat Important,Very Important,Important,Not Important,Not Important,Yes,Neutral,It helps me relax and focus,Gaming Console,
2023/04/09 7:38:19 p. m. GMT-4,Male,26-30,Simulation games;Adventure games;Casual games,Occasionally,Online reviews and ratings,More than 10 hours,$10-$25,New levels or content,Important,Regular,Very Important,Not Important,Important,Yes,Somewhat Likely,It is essential to my gaming experience,Mobile Phone,Animal Crossing and Stardew Valley
2023/04/06 12:13:35 a. m. GMT-4,Female,16-20,Adventure games,Weekly,Other,2-5 hours,$0 ,Virtual currency,Somewhat Important,Somewhat Important,Very Important,Important,Somewhat Important,Yes,Somewhat Likely,It is essential to my gaming experience,PC/Laptop;Gaming Console,Animal Crossing and Stardew Valley
2023/04/05 9:36:01 p. m. GMT-4,Male,26-30,Simulation games,Monthly,Word of mouth,1-2 hours,$0 ,Other,Regular,Regular,Very Important,Not Important,Very Important,Yes,Somewhat Likely,It is essential to my gaming experience,PC/Laptop,"Truck Simulator, Paradox Games"
2023/04/06 12:13:35 a. m. GMT-4,Female,41-45,Simulation games,Occasionally,Other,1-2 hours,$0 ,Other,Not Important,Very Important,Very Important,Not Important,Not Important,No,Very Likely,It helps me relax and focus,PC/Laptop,"I think I was emailed the wrong survey, I exclusively play VR military flight simulators on this https://international-store.varjo.com/home-storefront-b2c and nothing else, no music, no in game purchases, no multiplayer and no story, only a 2,000 pages avionics paper manual to memorize and my hotas and trackball to execute cockpit procedures in my varjo aero"
2023/04/07 12:17:24 a. m. GMT-4,Female,21-25,Casual games,Occasionally,Other,Less than 1 hour,$0 ,Other,Not Important,Important,Very Important,Not Important,Not Important,Yes,Somewhat Likely,I don't pay attention to the music in cozy games,Gaming Console,harvest moon! i love nature lol and it has a storyline that isn’t too intense like other games but you still have a goal to accomplish
2023/04/06 3:54:04 a. m. GMT-4,Male,21-25,Simulation games,Occasionally,Word of mouth,1-2 hours,$0 ,None,Very Important,Very Important,Not Important,Somewhat Important,Regular,Yes,Somewhat Unlikely,It helps me relax and focus,Gaming Console,"Hello Kitty Island Adventure, Stardew valley, animal crossing, Zelda"
2023/05/02 4:54:51 p. m. GMT-4,Male,16-20,Simulation games,Weekly,Word of mouth;Online reviews and ratings,More than 10 hours,$0 ,Other,Not Important,Not Important,Important,Not Important,Very Important,Yes,Very Unlikely,I don't pay attention to the music in cozy games,Other,The sims and spirit farer
2023/04/05 11:55:51 p. m. GMT-4,Male;Non-Binary,21-25,Adventure games,Occasionally,Word of mouth,1-2 hours,$0 ,Extra lives or power-ups,Important,Important,Very Important,Regular,Not Important,Yes,Very Likely,It helps me relax and focus,Mobile Phone,"""A Short Hike"" and ""Glider PRO""

They are the digital equivalent of a warm heavy blanket on a cold winter's day."
2023/04/06 2:04:56 p. m. GMT-4,Female,26-30,Simulation games,Never,Social media recommendations;Word of mouth;Online reviews and ratings,Less than 1 hour,$0 ,New levels or content,Very Important,Important,Very Important,Not Important,Not Important,Yes,Somewhat Likely,It helps me relax and focus,Gaming Console,
2023/04/07 1:08:03 a. m. GMT-4,Female,16-20,Simulation games,Occasionally,Social media recommendations,1-2 hours,$10-$25,None,Very Important,Not Important,Very Important,Not Important,Regular,Yes,Neutral,"I appreciate the music, but it is not essential to my gaming experience",Gaming Console,"Dreamlight Valley, Cozy Grove, Dorfromantik"
2023/04/07 1:08:03 a. m. GMT-4,Female,16-20,Adventure games,Occasionally,Online reviews and ratings,Less than 1 hour,$10-$25,Extra lives or power-ups,Very Important,Somewhat Important,Very Important,Important,Regular,Yes,Neutral,It helps me relax and focus,PC/Laptop,
2023/04/09 7:38:19 p. m. GMT-4,Male,26-30,Simulation games;Adventure games;Casual games,Weekly,Social media recommendations,1-2 hours,Menos de $10,Extra lives or power-ups,Somewhat Important,Important,Important,Important,Regular,Yes,Somewhat Likely,It is essential to my gaming experience,Mobile Phone,"Truck Simulator, Paradox Games"
2023/04/06 12:48:52 a. m. GMT-4,Female,41-45,Simulation games,Never,Social media recommendations;Other,More than 10 hours,$0 ,Other,Not Important,Not Important,Important,Not Important,Important,No,Neutral,"I appreciate the music, but it is not essential to my gaming experience",Other,
2023/04/09 7:38:19 p. m. GMT-4,Female,26-30,Adventure games,Daily,Online reviews and ratings,Less than 1 hour,$10-$25,Other,Very Important,Very Important,Very Important,Important,Very Important,Yes,Somewhat Likely,It helps me relax and focus,Gaming Console,Red Dead Redemption 2. I like to hike and hunt all over random places. It is very good looking and plays well. Forza Horizon 4/5. I like these games as well just to drive around random places and have fun.  
2023/04/06 10:45:06 a. m. GMT-4,Female,21-25,Simulation games,Occasionally,Word of mouth,Less than 1 hour,$0 ,Other,Very Important,Very Important,Very Important,Important,Regular,Yes,Neutral,It helps me relax and focus,Gaming Console,"Animal crossing, is relaxing and addictive. Also you can play at your own pace not like in other games such as Stardew valley."
2023/04/05 11:55:51 p. m. GMT-4,Female,26-30,Adventure games,Weekly,Word of mouth;Online reviews and ratings,1-2 hours,$10-$25,None,Important,Regular,Important,Regular,Somewhat Important,Yes,Somewhat Likely,It helps me relax and focus,PC/Laptop;Gaming Console,"Stardew Valley, Animal Crossing: City Folk, The Sims 3 and 4, Minecraft "
2023/05/03 3:01:47 a. m. GMT-4,Male,36-40,Casual games;Simulation games,Weekly,Other,More than 10 hours,Less than $10,Other,Important,Regular,Very Important,Important,Not Important,Yes,Somewhat Likely,"It helps me relax and focus;I appreciate the music, but it is not essential to my gaming experience",PC/Laptop,"Animal crossing, is relaxing and addictive. Also you can play at your own pace not like in other games such as Stardew valley."
2023/04/07 12:17:24 a. m. GMT-4,Male,36-40,Simulation games,Weekly,Word of mouth,2-5 hours,$0 ,Other,Very Important,Important,Very Important,Not Important,Important,No,Neutral,I don't pay attention to the music in cozy games,Mobile Phone,"Stardew Valley, I fell hours pass by"
2023/04/06 4:25:53 p. m. GMT-4,Female,26-30,Simulation games,Weekly,Social media recommendations;Word of mouth;Online reviews and ratings,1-2 hours,$0 ,Other,Somewhat Important,Regular,Important,Important,Very Importante,Yes,Somewhat Likely,"I appreciate the music, but it is not essential to my gaming experience",PC/Laptop,"Animal crossing, Stardew Valley "
2023/04/06 3:45:10 a. m. GMT-4,Female,21-25,Simulation games,Occasionally,Social media recommendations,2-5 hours,$0 ,Other,Very Important,Regular,Very Importante,Very Important,Not Important,Yes,Very Unlikely,It helps me relax and focus,Gaming Console,"Animql crossing, Disney dreamlightvalley, wylde flowers..."
2023/04/07 1:08:03 a. m. GMT-4,Female,26-30,Adventure games;Simulation games;Puzzle games,Weekly,Word of mouth;Online reviews and ratings,2-5 hours,$10-$25,None,Somewhat Important,Very Important,Important,Somewhat Important,Not Important,Yes,Somewhat Likely,It is essential to my gaming experience,PC/Laptop;Gaming Console,
2023/04/09 7:38:19 p. m. GMT-4,Male,26-30,Simulation games,Weekly,App store recommendations,1-2 hours,$10-$25,New levels or content,Somewhat Important,Regular,Important,Somewhat Important,Regular,Yes,Somewhat Likely,"I appreciate the music, but it is not essential to my gaming experience",PC/Laptop,
2023/04/07 7:45:09 p. m. GMT-4,Female,26-30,Casual games,Weekly,Social media recommendations;Word of mouth;Online reviews and ratings,1-2 hours,Less than $10,New levels or content;Cosmetics or skins,Important,Important,Important,Not Important,Very Important,Yes,Somewhat Likely,I don't pay attention to the music in cozy games,Gaming Console,
2023/04/06 4:25:53 p. m. GMT-4,Female,16-20,Other,Weekly,Word of mouth,Less than 1 hour,$10-$25,Other,Regular,Somewhat Important,Important,Regular,Not Important,Yes,Very Likely,"I appreciate the music, but it is not essential to my gaming experience",PC/Laptop,"Animal crossing, Stardew Valley "
2023/04/06 3:28:08 a. m. GMT-4,Female,16-20,Simulation games,Weekly,Social media recommendations,1-2 hours,$0 ,Virtual currency,Very Important,Somewhat Important,Important,Not Important,Very Important,No,Somewhat Unlikely,It helps me relax and focus,PC/Laptop,Animal Crossing and Stardew Valley
2023/04/06 3:28:08 a. m. GMT-4,Female,26-30,Simulation games,Occasionally,Social media recommendations;Other,1-2 hours,$10-$25,Extra lives or power-ups,Important,Very Important,Very Important,Regular,Regular,Yes,Very Likely,It helps me relax and focus,Mobile Phone,Zelda
2023/04/07 1:08:03 a. m. GMT-4,Female,31-35,Simulation games,Never,Social media recommendations,1-2 hours,$0 ,Virtual currency,Very Important,Very Important,Important,Very Important,Not Important,Yes,Neutral,"I appreciate the music, but it is not essential to my gaming experience",Other,slime rancher because I love slimes they are cute 
2023/05/03 3:01:47 a. m. GMT-4,Female,26-30,Adventure games;Simulation games;Puzzle games,Weekly,Social media recommendations,1-2 hours,$0 ,New levels or content;Virtual currency,Regular,Regular,Important,Regular,Regular,Yes,Very Likely,It is essential to my gaming experience,PC/Laptop,"Endless Ocean (love the feel of water/swimming in games, love marine animals, nice music), Animal Crossing (cute and atmosoheric), Stardew Valley (playing with family, building something together without pressing goals, can take long breaks without losing feel for involved mechanics and stuff)"
2023/04/05 11:55:51 p. m. GMT-4,Male,26-30,Other,Never,Other,Less than 1 hour,$0 ,Other,Not Important,Not Important,Regular,Not Important,Not Important,Yes,Somewhat Likely,It helps me relax and focus,Gaming Console,"Stardew Valley, Animal Crossing: City Folk, The Sims 3 and 4, Minecraft "
2023/04/06 4:25:53 p. m. GMT-4,Male,26-30,Simulation games,Weekly,Word of mouth,1-2 hours,$0 ,New levels or content,Regular,Regular,Very Important,Not Important,Very Important,Yes,Very Likely,It is essential to my gaming experience,Gaming Console,
2023/04/06 10:45:06 a. m. GMT-4,Female,26-30,Simulation games,Weekly,Word of mouth;Online reviews and ratings,1-2 hours,$0 ,New levels or content,Very Important,Regular,Important,Regular,Regular,Yes,Somewhat Likely,"I appreciate the music, but it is not essential to my gaming experience",PC/Laptop,"Animal crossing, is relaxing and addictive. Also you can play at your own pace not like in other games such as Stardew valley."
2023/04/06 9:07:11 a. m. GMT-4,Female,26-30,Simulation games,Weekly,Word of mouth,1-2 hours,Menos de $10,Other,Very Important,Regular,Very Important,Important,Regular,Yes,Somewhat Likely,It helps me relax and focus,PC/Laptop,
2023/04/06 9:07:11 a. m. GMT-4,Female,26-30,Simulation games,Weekly,Online reviews and ratings,Less than 1 hour,$10-$25,None,Important,Regular,Important,Important,Not Important,Yes,Very Unlikely,It helps me relax and focus,Mobile Phone,
2023/05/02 4:54:51 p. m. GMT-4,Male,16-20,Simulation games,Weekly,Social media recommendations;Word of mouth;Online reviews and ratings,1-2 hours,$0 ,Extra lives or power-ups,Very Important,Somewhat Important,Very Important,Not Important,Very Important,No,Somewhat Unlikely,It is essential to my gaming experience,Gaming Console,"Stardew valley and my time at portia, I love the atmosphere and I enjoy resource collection games because they’re relaxing."
2023/05/02 4:54:51 p. m. GMT-4,Male,26-30,Adventure games,Occasionally,Word of mouth,Less than 1 hour,$0 ,Other,Very Important,Very Important,Very Important,Not Important,Somewhat Important,Yes,Neutral,It helps me relax and focus,PC/Laptop,"Animal crossing, Stardew Valley "
2023/04/06 3:09:37 a. m. GMT-4,Male,26-30,Adventure games,Weekly,Word of mouth,1-2 hours,More than $50,New levels or content;Cosmetics or skins,Important,Regular,Very Importante,Not Important,Somewhat Important,Yes,Very Likely,It is essential to my gaming experience,PC/Laptop,The sims and spirit farer
2023/04/06 1:29:01 a. m. GMT-4,Female,31-35,Adventure games,Weekly,Online reviews and ratings,1-2 hours,More than $50,None,Important,Very Important,Very Important,Important,Regular,Yes,Very Likely,It is essential to my gaming experience,Gaming Console,"Animal crossing, Stardew Valley "
2023/05/02 4:54:51 p. m. GMT-4,Male;Non-Binary,31-35,Casual games,Never,Word of mouth,Less than 1 hour,$0 ,Other,Not Important,Regular,Very Important,Not Important,Very Importante,Yes,Neutral,I don't pay attention to the music in cozy games,Gaming Console,"Animal crossing, is relaxing and addictive. Also you can play at your own pace not like in other games such as Stardew valley."
2023/04/06 12:13:35 a. m. GMT-4,Male,41-45,Simulation games,Occasionally,Word of mouth,1-2 hours,$0 ,Other,Important,Somewhat Important,Not Important,Not Important,Not Important,Yes,Very Unlikely,I don't pay attention to the music in cozy games,Gaming Console,"Truck Simulator, Paradox Games"
2023/04/06 9:07:11 a. m. GMT-4,Male,21-25,Simulation games;Adventure games;Casual games,Weekly,Word of mouth,2-5 hours,$0 ,New levels or content;Virtual currency,Important,Regular,Very Importante,Regular,Somewhat Important,Yes,Somewhat Unlikely,"I appreciate the music, but it is not essential to my gaming experience",Gaming Console,"Endless Ocean (love the feel of water/swimming in games, love marine animals, nice music), Animal Crossing (cute and atmosoheric), Stardew Valley (playing with family, building something together without pressing goals, can take long breaks without losing feel for involved mechanics and stuff)"
2023/04/06 12:48:52 a. m. GMT-4,Female,41-45,Simulation games;Adventure games;Casual games,Occasionally,Word of mouth,More than 10 hours,Menos de $10,Other,Not Important,Not Important,Not Important,Not Important,Not Important,No,Neutral,I don't pay attention to the music in cozy games,Gaming Console,"I think I was emailed the wrong survey, I exclusively play VR military flight simulators on this https://international-store.varjo.com/home-storefront-b2c and nothing else, no music, no in game purchases, no multiplayer and no story, only a 2,000 pages avionics paper manual to memorize and my hotas and trackball to execute cockpit procedures in my varjo aero"
2023/04/09 12:17:00 a. m. GMT-4,Female,26-30,Other,Weekly,Social media recommendations,More than 10 hours,$0 ,New levels or content;Cosmetics or skins,Not Important,Not Important,Important,Not Important,Not Important,No,Somewhat Likely,I don't pay attention to the music in cozy games,Gaming Console,"Truck Simulator, Paradox Games"
2023/04/07 7:45:09 p. m. GMT-4,Male,21-25,Simulation games,Weekly,Social media recommendations,2-5 hours,$10-$25,Other,Very Important,Somewhat Important,Important,Regular,Not Important,Yes,Somewhat Likely,"I appreciate the music, but it is not essential to my gaming experience",Gaming Console,Red Dead Redemption 2. I like to hike and hunt all over random places. It is very good looking and plays well. Forza Horizon 4/5. I like these games as well just to drive around random places and have fun.  
2023/04/06 12:13:35 a. m. GMT-4,Female,26-30,Simulation games,Weekly,Word of mouth,More than 10 hours,$0 ,Other,Not Important,Not Important,Not Important,Not Important,Not Important,Yes,Neutral,I don't pay attention to the music in cozy games,PC/Laptop,"Animal crossing, is relaxing and addictive. Also you can play at your own pace not like in other games such as Stardew valley."
2023/04/09 12:17:00 a. m. GMT-4,Female,26-30,Simulation games;Adventure games,Weekly,Social media recommendations,2-5 hours,$0 ,Virtual currency,Very Important,Regular,Very Important,Not Important,Somewhat Important,Yes,Very Likely,It is essential to my gaming experience,PC/Laptop,"Animal crossing, Stardew Valley "
2023/04/06 12:13:35 a. m. GMT-4,Female,21-25,Simulation games,Occasionally,Social media recommendations,1-2 hours,$0 ,None,Regular,Somewhat Important,Very Important,Not Important,Regular,Yes,Very Likely,It is essential to my gaming experience,Gaming Console,"Dreamlight Valley, Cozy Grove, Dorfromantik"
2023/04/05 10:07:36 p. m. GMT-4,Female,26-30,Adventure games,Weekly,Word of mouth;Online reviews and ratings,1-2 hours,$0 ,None,Important,Somewhat Important,Very Important,Not Important,Regular,Yes,Somewhat Likely,"I appreciate the music, but it is not essential to my gaming experience",PC/Laptop;Gaming Console,Animal Crossing and  Stardew Valley. I enjoy the environment and it helps me relax
2023/04/06 2:04:38 p. m. GMT-4,Male,26-30,Adventure games,Weekly,Social media recommendations,1-2 hours,$10-$25,None,Important,Regular,Very Important,Regular,Important,Yes,Somewhat Unlikely,It is essential to my gaming experience,PC/Laptop,"Truck Simulator, Paradox Games"
2023/04/06 2:04:56 p. m. GMT-4,Female,16-20,Casual games,Occasionally,Word of mouth,2-5 hours,$0 ,Extra lives or power-ups,Very Important,Very Important,Very Important,Important,Regular,Yes,Neutral,It helps me relax and focus,Mobile Phone,"Animal crossing, is relaxing and addictive. Also you can play at your own pace not like in other games such as Stardew valley."
2023/04/06 11:24:28 a. m. GMT-4,Female,21-25,Simulation games,Occasionally,Online reviews and ratings,1-2 hours,$0 ,None,Important,Very Important,Important,Not Important,Regular,Yes,Neutral,"I appreciate the music, but it is not essential to my gaming experience",PC/Laptop,Zelda
2023/04/06 11:24:28 a. m. GMT-4,Female,26-30,Simulation games,Occasionally,App store recommendations,Less than 1 hour,Less than $10,None,Very Important,Very Important,Important,Not Important,Regular,No,Very Likely,It helps me relax and focus,PC/Laptop,"Hello Kitty Island Adventure, Stardew valley, animal crossing, Zelda"
2023/04/06 11:24:28 a. m. GMT-4,Female,16-20,Adventure games,Occasionally,Word of mouth,Less than 1 hour,$10-$25,Extra lives or power-ups,Very Important,Regular,Very Important,Important,Important,Yes,Neutral,It helps me relax and focus,Mobile Phone,Zelda
2023/04/06 1:29:01 a. m. GMT-4,Female,16-20,Simulation games,Weekly,Social media recommendations,More than 10 hours,$0 ,None,Very Important,Regular,Important,Not Important,Not Important,Yes,Neutral,It helps me relax and focus,PC/Laptop,Zelda
2023/04/09 7:38:19 p. m. GMT-4,Female,26-30,Simulation games,Weekly,Social media recommendations,2-5 hours,Less than $10,None,Important,Important,Important,Somewhat Important,Very Important,No,Somewhat Likely,"I appreciate the music, but it is not essential to my gaming experience",PC/Laptop,The sims and spirit farer
2023/05/02 4:54:51 p. m. GMT-4,Female,21-25,Adventure games;Simulation games;Puzzle games,Occasionally,Social media recommendations,1-2 hours,$0 ,Other,Very Important,Regular,Important,Somewhat Important,Regular,Yes,Somewhat Unlikely,It helps me relax and focus,Gaming Console,The sims and spirit farer
2023/04/09 7:38:19 p. m. GMT-4,Female,41-45,Simulation games,Occasionally,Other,More than 10 hours,$0 ,New levels or content,Not Important,Very Important,Regular,Not Important,Not Important,No,Very Unlikely,"I appreciate the music, but it is not essential to my gaming experience",Other,"Stardew valley and my time at portia, I love the atmosphere and I enjoy resource collection games because they’re relaxing."
